Rank,Player,Position,Archetype,3PES,SPA Ratio,Composite Score
1,Derrick White,G,Perimeter Lockdown,0.7%,2.89,95.8
2,Rudy Gobert,C,Versatile Funneler,0.4%,2.77,91.1
3,OG Anunoby,F,Perimeter Pest,-0.8%,3.64,88.5
4,Jaden McDaniels,F,Perimeter Pest,-1.5%,3.3,85.2
5,Alex Caruso,G,Perimeter Lockdown,-0.4%,3.62,84.9
6,Draymond Green,F,Perimeter Pest,-0.5%,3.3,82.3
7,Jayson Tatum,F,Versatile Funneler,0.3%,2.94,81.7
8,Chris Paul,G,Perimeter Lockdown,0.3%,3.12,79.4
9,Julius Randle,F,Perimeter Lockdown,0.4%,3.51,78.8
10,Nicolas Batum,F,Perimeter Lockdown,0.5%,3.44,77
11,Herbert Jones,F,Perimeter Lockdown,0.1%,3.69,75.6
12,Jrue Holiday,G,Volume Defender,-0.9%,3.02,73.1
13,Jaylen Brown,F,Versatile Funneler,0.2%,2.96,72.5
14,Mikal Bridges,F,Volume Defender,-0.5%,2.95,70.9
15,Aaron Gordon,F,Versatile Funneler,0.2%,3.07,69.3
16,Luguentz Dort,G,Perimeter Pest,-0.4%,3.81,68.1
17,Bam Adebayo,C,Perimeter Lockdown,0.0%,3.77,66.4
18,Matisse Thybulle,G,Versatile Funneler,0.7%,2.81,65
19,Dillon Brooks,F,Perimeter Pest,-0.7%,3.42,63.8
20,Jimmy Butler,F,Perimeter Pest,-0.6%,3.72,62.2
21,Fred VanVleet,G,Perimeter Pest,-0.5%,3.66,61.5
22,Giannis Antetokounmpo,F,Volume Defender,-0.5%,2.89,60.3
23,Pascal Siakam,F,Perimeter Pest,-1.3%,3.48,59.1
24,Devin Booker,G,Volume Defender,-0.7%,3.09,58.4
25,RJ Barrett,F,Perimeter Lockdown,0.0%,3.66,57.2
26,Dejounte Murray,G,Perimeter Pest,-1.7%,3.12,56.9
27,Shai Gilgeous-Alexander,G,Perimeter Pest,-0.4%,3.94,56.1
28,Jalen Brunson,G,Perimeter Pest,-1.3%,3.28,55.8
29,Anthony Edwards,G,Perimeter Pest,-0.6%,3.36,55.5
30,DeMar DeRozan,F,Perimeter Pest,-1.7%,3.47,55.1
31,Zach LaVine,G,Perimeter Pest,-0.5%,3.45,54.6
32,Domantas Sabonis,C,Volume Defender,-2.4%,3.13,54
33,Trae Young,G,Perimeter Pest,-1.5%,3.29,53.7
34,Kevin Durant,F,Volume Defender,-0.2%,3.36,53.2
35,Stephen Curry,G,Volume Defender,-0.2%,3.3,52.9
36,James Harden,G,Perimeter Pest,-0.6%,3.35,52.5
37,Kyle Kuzma,F,Volume Defender,-0.5%,2.86,52.1
38,Coby White,G,Perimeter Pest,-0.5%,3.67,51.8
39,Nikola Jokic,C,Volume Defender,-0.8%,3.15,51.4
40,Harrison Barnes,F,Perimeter Pest,-2.2%,3.21,51
41,LeBron James,F,Perimeter Pest,-1.1%,3.58,50.6
42,Nikola Vucevic,C,Perimeter Pest,-1.0%,3.63,50.1
43,Terry Rozier,G,Perimeter Pest,-1.5%,3.83,49.8
44,Tyler Herro,G,Perimeter Lockdown,-0.1%,3.9,49.5
45,Buddy Hield,G,Volume Defender,-1.3%,3.15,49.1
46,CJ McCollum,G,Perimeter Pest,-0.6%,3.67,48.8
47,Russell Westbrook,G,Volume Defender,-0.6%,3.17,48.4
48,Tobias Harris,F,Versatile Funneler,-0.2%,3.09,48
49,Josh Hart,G,Perimeter Pest,-1.6%,3.5,47.7
50,Miles Bridges,F,Perimeter Pest,-0.7%,4.28,47.3
